Cell type	Gene	Average_log2_fold_change	Percentage_expressed_in_type	Percentage_expressed_outside_type	P_value	P_value_adjusted	ENSG
EN-Newborn	SORBS2	0.915176319	0.867	0.657	0	0	ENSG00000154556
EN-Newborn	MN1	0.912306181	0.603	0.178	0	0	ENSG00000169184
EN-Newborn	CLMP	0.894795673	0.558	0.215	0	0	ENSG00000166250
EN-Newborn	MYT1L	0.88030355	0.992	0.761	0	0	ENSG00000186487
EN-Newborn	NKAIN2	0.870279171	0.815	0.823	0	0	ENSG00000188580
EN-Newborn	PLXNA4	0.859015243	0.731	0.523	0	0	ENSG00000221866
EN-Newborn	LINC01122	0.836446221	0.862	0.637	0	0	ENSG00000233723
EN-Newborn	RBFOX1	0.832752481	0.978	0.82	0	0	ENSG00000078328
EN-Newborn	ZNF804A	0.830772708	0.752	0.493	0	0	ENSG00000170396
EN-Newborn	SOX4	0.815862288	0.776	0.438	0	0	ENSG00000124766
EN-Newborn	PGAP1	0.813769858	0.725	0.486	0	0	ENSG00000197121
EN-Newborn	AL589740.1	0.809480009	0.73	0.543	0	0	ENSG00000271860
EN-Newborn	KIF26B	0.808876392	0.446	0.277	0	0	ENSG00000162849
EN-Newborn	PDE4D	0.773096242	0.979	0.881	0	0	ENSG00000113448
EN-Newborn	PRSS12	0.76884937	0.342	0.068	0	0	ENSG00000164099
IPC-EN	NFIA	2.21771297	0.991	0.649	0	0	ENSG00000162599
IPC-EN	NKAIN3	2.157428012	0.961	0.575	0	0	ENSG00000185942
IPC-EN	NFIA-AS2	1.84819237	0.592	0.098	0	0	ENSG00000237928
IPC-EN	CASC15	1.815680053	0.98	0.604	0	0	ENSG00000272168
IPC-EN	SYNE2	1.709525302	0.922	0.302	0	0	ENSG00000054654
IPC-EN	DACH1	1.670346327	0.65	0.158	0	0	ENSG00000276644
IPC-EN	AL589740.1	1.670041182	0.715	0.554	0	0	ENSG00000271860
IPC-EN	NFIB	1.656753233	0.991	0.705	0	0	ENSG00000147862
IPC-EN	SLCO5A1	1.526621091	0.7	0.212	0	0	ENSG00000137571
IPC-EN	DLEU2	1.500250609	0.842	0.449	0	0	ENSG00000231607
IPC-EN	AC099792.1	1.421291631	0.674	0.147	0	0	ENSG00000231252
IPC-EN	SOX11	1.402141154	0.903	0.359	0	0	ENSG00000176887
IPC-EN	MAML3	1.364356433	0.736	0.327	0	0	ENSG00000196782
IPC-EN	NRG1	1.321149928	0.737	0.635	0	0	ENSG00000157168
IPC-EN	GPC6	1.310536471	0.905	0.582	0	0	ENSG00000183098
IPC-EN	CNTLN	1.305565611	0.639	0.22	0	0	ENSG00000044459
IPC-EN	SOX4	1.288838396	0.92	0.45	0	0	ENSG00000124766
IPC-EN	ZFPM2	1.276978055	0.597	0.453	0	0	ENSG00000169946
IPC-EN	CHD7	1.275730564	0.827	0.315	0	0	ENSG00000171316
IPC-EN	EZH2	1.257913986	0.724	0.223	0	0	ENSG00000106462
IPC-EN	MIR924HG	1.249398167	0.37	0.071	0	0	ENSG00000267374
IPC-EN	CACNA2D1	1.240065653	0.95	0.815	0	0	ENSG00000153956
IPC-EN	HBG2	1.230590071	0.432	0.102	0	0	ENSG00000196565
IPC-EN	MEIS2	1.203899718	0.946	0.572	0	0	ENSG00000134138
IPC-EN	MIR99AHG	1.167855264	0.858	0.848	0	0	ENSG00000215386
IPC-EN	MPPED2	1.124992314	0.868	0.439	0	0	ENSG00000066382
IPC-EN	CDKAL1	1.106912186	0.817	0.6	0	0	ENSG00000145996
IPC-EN	ADGRV1	1.08161593	0.806	0.294	0	0	ENSG00000164199
IPC-EN	SVIL	1.079206303	0.638	0.197	0	0	ENSG00000197321
IPC-EN	DIAPH3	1.071177481	0.369	0.086	0	0	ENSG00000139734
IPC-EN	CDON	1.064310011	0.738	0.324	0	0	ENSG00000064309
IPC-EN	NEDD4L	1.056694023	0.966	0.749	0	0	ENSG00000049759
IPC-EN	ZEB1	1.053768888	0.82	0.417	0	0	ENSG00000148516
IPC-EN	GRAMD1B	1.050029867	0.517	0.345	0	0	ENSG00000023171
IPC-EN	TENM4	1.040128403	0.932	0.74	0	0	ENSG00000149256
IPC-EN	BICD1	1.039162078	0.919	0.666	0	0	ENSG00000151746
IPC-EN	ELAVL2	1.019537786	0.715	0.336	0	0	ENSG00000107105
IPC-EN	PLXNA2	1.000838933	0.798	0.427	0	0	ENSG00000076356
IPC-EN	HIST1H4C	0.998661765	0.621	0.303	0	0	ENSG00000197061
IPC-EN	PANTR1	0.985649777	0.8	0.545	0	0	ENSG00000233639
IPC-EN	SNCAIP	0.983127592	0.68	0.268	0	0	ENSG00000064692
IPC-EN	LINC01748	0.978129986	0.531	0.17	0	0	ENSG00000226476
IPC-EN	PGAP1	0.967736841	0.81	0.496	0	0	ENSG00000197121
IPC-EN	EPHA3	0.965384006	0.697	0.401	0	0	ENSG00000044524
IPC-EN	EBF2	0.955659248	0.237	0.004	0	0	ENSG00000221818
IPC-EN	IGF2BP3	0.955393689	0.669	0.239	0	0	ENSG00000136231
IPC-EN	MLLT3	0.954258368	0.821	0.795	0	0	ENSG00000171843
IPC-EN	TTR	0.94871699	0.298	0.061	0	0	ENSG00000118271
IPC-EN	SETBP1	0.948658249	0.968	0.783	0	0	ENSG00000152217
IPC-EN	LINC01965	0.940717306	0.442	0.175	0	0	ENSG00000256637
RG-oRG	LINC01965	2.693551886	0.876	0.178	0	0	ENSG00000256637
RG-oRG	GLI3	2.387849647	0.91	0.149	0	0	ENSG00000106571
RG-oRG	DACH1	2.245349362	0.82	0.171	0	0	ENSG00000276644
RG-oRG	AL589740.1	2.210890382	0.98	0.556	0	0	ENSG00000271860
RG-oRG	ADGRV1	2.046987717	0.936	0.308	0	0	ENSG00000164199
RG-oRG	CREB5	2.04248666	0.853	0.292	0	0	ENSG00000146592
RG-oRG	PTN	1.897375666	0.92	0.375	0	0	ENSG00000105894
RG-oRG	PARD3B	1.770274435	0.916	0.227	0	0	ENSG00000116117
RG-oRG	FBXL7	1.74684512	0.967	0.36	0	0	ENSG00000183580
RG-oRG	SHROOM3	1.712451029	0.894	0.277	0	0	ENSG00000138771
RG-oRG	CDON	1.633345682	0.788	0.336	0	0	ENSG00000064309
RG-oRG	MIR99AHG	1.619268118	0.997	0.847	0	0	ENSG00000215386
RG-oRG	PDGFD	1.58539724	0.685	0.111	0	0	ENSG00000170962
RG-oRG	PTPRM	1.554965788	0.89	0.316	0	0	ENSG00000173482
RG-oRG	MEIS2	1.543811311	0.969	0.582	0	0	ENSG00000134138
RG-oRG	ZFHX4	1.528859983	0.872	0.258	0	0	ENSG00000091656
RG-oRG	LTBP1	1.475415864	0.725	0.164	0	0	ENSG00000049323
RG-oRG	FHOD3	1.47336354	0.892	0.57	0	0	ENSG00000134775
RG-oRG	MPPED2	1.458967298	0.894	0.451	0	0	ENSG00000066382
RG-oRG	VIM	1.450237095	0.762	0.17	0	0	ENSG00000026025
RG-oRG	NKAIN3	1.443293369	0.975	0.586	0	0	ENSG00000185942
RG-oRG	PTPRZ1	1.403555937	0.975	0.539	0	0	ENSG00000106278
RG-oRG	SYNE2	1.383998519	0.837	0.321	0	0	ENSG00000054654
RG-oRG	NPAS3	1.362807772	0.998	0.651	0	0	ENSG00000151322
RG-oRG	SFRP1	1.298572319	0.648	0.103	0	0	ENSG00000104332
RG-oRG	HBG2	1.281169365	0.416	0.111	0	0	ENSG00000196565
RG-oRG	FABP7	1.272902414	0.763	0.318	0	0	ENSG00000164434
RG-oRG	SLC1A3	1.270835796	0.881	0.258	0	0	ENSG00000079215
RG-oRG	HMGA2	1.256790186	0.558	0.089	0	0	ENSG00000149948
RG-oRG	COL11A1	1.250841124	0.747	0.244	0	0	ENSG00000060718
RG-oRG	LRRC3B	1.233448675	0.659	0.263	0	0	ENSG00000179796
RG-oRG	SOX6	1.204364102	0.912	0.317	0	0	ENSG00000110693
RG-oRG	MSI2	1.2022844	0.911	0.436	0	0	ENSG00000153944
RG-oRG	NCKAP5	1.196155843	0.927	0.501	0	0	ENSG00000176771
RG-oRG	ID4	1.162243951	0.667	0.131	0	0	ENSG00000172201
RG-oRG	PARD3	1.15928654	0.855	0.326	0	0	ENSG00000148498
RG-oRG	ZBTB20	1.140850915	0.966	0.538	0	0	ENSG00000181722
RG-oRG	NEDD4L	1.137755453	0.935	0.755	0	0	ENSG00000049759
RG-oRG	AC131571.1	1.128522071	0.526	0.145	0	0	ENSG00000228061
RG-oRG	MOXD1	1.119244595	0.452	0.054	0	0	ENSG00000079931
RG-oRG	GULP1	1.104078873	0.784	0.303	0	0	ENSG00000144366
RG-oRG	ZEB1	1.101994599	0.881	0.428	0	0	ENSG00000148516
RG-oRG	VCAN	1.10113669	0.829	0.307	0	0	ENSG00000038427
RG-oRG	PLCE1	1.098662835	0.662	0.152	0	0	ENSG00000138193
RG-oRG	HES1	1.069566299	0.575	0.093	0	0	ENSG00000114315
RG-oRG	COL4A5	1.064329224	0.708	0.184	0	0	ENSG00000188153
RG-oRG	NFIA	1.0632344	0.994	0.659	0	0	ENSG00000162599
RG-oRG	C1orf61	1.053717699	0.908	0.536	0	0	ENSG00000125462
RG-oRG	INTU	1.052839643	0.763	0.328	0	0	ENSG00000164066
RG-oRG	PHIP	1.037965249	0.888	0.623	0	0	ENSG00000146247
RG-tRG	LINC01965	3.372581159	0.938	0.18	0	0	ENSG00000256637
RG-tRG	ADGRV1	2.884372149	0.984	0.309	0	0	ENSG00000164199
RG-tRG	GLI3	2.517683744	0.934	0.152	0	0	ENSG00000106571
RG-tRG	AL589740.1	2.28635988	0.971	0.557	0	0	ENSG00000271860
RG-tRG	SHROOM3	2.284721206	0.944	0.278	0	0	ENSG00000138771
RG-tRG	LTBP1	2.176682931	0.885	0.164	0	0	ENSG00000049323
RG-tRG	MIR99AHG	2.165529325	0.999	0.848	0	0	ENSG00000215386
RG-tRG	PDGFD	2.131047978	0.824	0.111	0	0	ENSG00000170962
RG-tRG	PARD3B	2.107722259	0.95	0.229	0	0	ENSG00000116117
RG-tRG	DACH1	2.059617416	0.865	0.173	0	0	ENSG00000276644
RG-tRG	NKAIN3	1.922100559	0.978	0.587	0	0	ENSG00000185942
RG-tRG	FBXL7	1.893546625	0.972	0.362	0	0	ENSG00000183580
RG-tRG	COL11A1	1.865480946	0.896	0.245	0	0	ENSG00000060718
RG-tRG	MEIS2	1.755257893	0.991	0.583	0	0	ENSG00000134138
RG-tRG	CDON	1.752407041	0.836	0.337	0	0	ENSG00000064309
RG-tRG	CREB5	1.657345485	0.868	0.293	0	0	ENSG00000146592
RG-tRG	ZFHX4	1.618024369	0.881	0.26	0	0	ENSG00000091656
RG-tRG	SOX6	1.595870693	0.976	0.318	0	0	ENSG00000110693
RG-tRG	MID1	1.562072114	0.826	0.282	0	0	ENSG00000101871
RG-tRG	AC131571.1	1.540846426	0.722	0.145	0	0	ENSG00000228061
RG-tRG	PELI2	1.531424756	0.848	0.326	0	0	ENSG00000139946
RG-tRG	SAMD4A	1.504516738	0.773	0.257	0	0	ENSG00000020577
RG-tRG	PLCE1	1.415877615	0.789	0.152	0	0	ENSG00000138193
RG-tRG	MPPED2	1.40270881	0.891	0.452	0	0	ENSG00000066382
RG-tRG	VIM	1.395831071	0.767	0.171	0	0	ENSG00000026025
RG-tRG	PALLD	1.36933436	0.826	0.269	0	0	ENSG00000129116
RG-tRG	SYNE2	1.356655635	0.872	0.323	0	0	ENSG00000054654
RG-tRG	NCKAP5	1.317624557	0.924	0.502	0	0	ENSG00000176771
RG-tRG	ITGB8	1.312731213	0.825	0.294	0	0	ENSG00000105855
RG-tRG	ZBTB20	1.297695164	0.989	0.539	0	0	ENSG00000181722
RG-tRG	FHOD3	1.295369383	0.902	0.571	0	0	ENSG00000134775
RG-tRG	BOC	1.294445031	0.684	0.105	0	0	ENSG00000144857
RG-tRG	NPAS3	1.272130842	0.997	0.652	0	0	ENSG00000151322
RG-tRG	DOK5	1.24565001	0.862	0.398	0	0	ENSG00000101134
RG-tRG	PTPRM	1.236749988	0.846	0.318	0	0	ENSG00000173482
RG-tRG	NFIA	1.228565078	0.995	0.66	0	0	ENSG00000162599
RG-tRG	NEDD4L	1.226294964	0.962	0.756	0	0	ENSG00000049759
RG-tRG	PTN	1.225384213	0.832	0.377	0	0	ENSG00000105894
RG-tRG	HES1	1.202490083	0.597	0.095	0	0	ENSG00000114315
RG-tRG	TMEM163	1.162546345	0.738	0.303	0	0	ENSG00000152128
RG-tRG	IQGAP2	1.160116677	0.589	0.085	0	0	ENSG00000145703
RG-tRG	TBC1D1	1.151322738	0.735	0.254	0	0	ENSG00000065882
RG-tRG	LRRC3B	1.148148673	0.701	0.264	0	0	ENSG00000179796
RG-tRG	GULP1	1.142271029	0.804	0.305	0	0	ENSG00000144366
RG-tRG	PANTR1	1.140256734	0.932	0.552	0	0	ENSG00000233639
RG-tRG	LUCAT1	1.131637165	0.595	0.079	0	0	ENSG00000248323
RG-tRG	ELP4	1.10116339	0.796	0.361	0	0	ENSG00000109911
RG-tRG	ID4	1.098656216	0.642	0.133	0	0	ENSG00000172201
RG-tRG	AP002989.1	1.095527918	0.399	0.036	0	0	ENSG00000254987
RG-tRG	VCAN	1.094232232	0.841	0.309	0	0	ENSG00000038427
RG-vRG	DACH1	2.974202528	0.942	0.133	0	0	ENSG00000276644
RG-vRG	GLI3	2.515452065	0.962	0.11	0	0	ENSG00000106571
RG-vRG	LINC01965	2.498910561	0.785	0.151	0	0	ENSG00000256637
RG-vRG	MIR924HG	2.265235391	0.724	0.046	0	0	ENSG00000267374
RG-vRG	CREB5	1.991648975	0.93	0.261	0	0	ENSG00000146592
RG-vRG	CDON	1.98352965	0.903	0.307	0	0	ENSG00000064309
RG-vRG	HMGA2	1.966783463	0.75	0.056	0	0	ENSG00000149948
RG-vRG	VIM	1.84224258	0.868	0.135	0	0	ENSG00000026025
RG-vRG	DIAPH3	1.831177819	0.663	0.064	0	0	ENSG00000139734
RG-vRG	ADGRV1	1.815356897	0.937	0.278	0	0	ENSG00000164199
RG-vRG	HBG2	1.748693877	0.59	0.087	0	0	ENSG00000196565
RG-vRG	SYNE2	1.738922255	0.954	0.29	0	0	ENSG00000054654
RG-vRG	SHROOM3	1.71872308	0.902	0.247	0	0	ENSG00000138771
RG-vRG	MPPED2	1.706536783	0.937	0.428	0	0	ENSG00000066382
RG-vRG	NKAIN3	1.703726593	0.977	0.567	0	0	ENSG00000185942
RG-vRG	FBXL7	1.62229933	0.952	0.332	0	0	ENSG00000183580
RG-vRG	AL589740.1	1.588545608	0.838	0.544	0	0	ENSG00000271860
RG-vRG	PARD3B	1.555499956	0.87	0.197	0	0	ENSG00000116117
RG-vRG	MEIS2	1.515688919	0.98	0.563	0	0	ENSG00000134138
RG-vRG	HIST1H4C	1.460033191	0.748	0.29	0	0	ENSG00000197061
RG-vRG	ZFHX4	1.45656489	0.859	0.23	0	0	ENSG00000091656
RG-vRG	EEF1A1	1.452860183	0.961	0.793	0	0	ENSG00000156508
RG-vRG	CNTLN	1.393828312	0.814	0.203	0	0	ENSG00000044459
RG-vRG	MMS22L	1.354394957	0.72	0.124	0	0	ENSG00000146263
RG-vRG	NFIA	1.346571337	0.997	0.643	0	0	ENSG00000162599
RG-vRG	BRIP1	1.331462675	0.604	0.044	0	0	ENSG00000136492
RG-vRG	SFRP1	1.326417372	0.71	0.073	0	0	ENSG00000104332
RG-vRG	TTR	1.308871757	0.416	0.05	0	0	ENSG00000118271
RG-vRG	PARD3	1.304227274	0.897	0.298	0	0	ENSG00000148498
RG-vRG	PTN	1.293839493	0.775	0.357	0	0	ENSG00000105894
RG-vRG	PDGFD	1.266776067	0.611	0.088	0	0	ENSG00000170962
RG-vRG	HES1	1.265660437	0.665	0.065	0	0	ENSG00000114315
RG-vRG	IGF2BP3	1.249547309	0.803	0.224	0	0	ENSG00000136231
RG-vRG	RPL41	1.229934454	0.929	0.696	0	0	ENSG00000229117
RG-vRG	MIR99AHG	1.228298652	0.985	0.841	0	0	ENSG00000215386
RG-vRG	LTBP1	1.223363316	0.692	0.139	0	0	ENSG00000049323
RG-vRG	VCAN	1.204844057	0.885	0.279	0	0	ENSG00000038427
RG-vRG	RAD51B	1.202770439	0.746	0.234	0	0	ENSG00000182185
RG-vRG	PTPRM	1.197297994	0.833	0.292	0	0	ENSG00000173482
RG-vRG	SMC4	1.190068904	0.603	0.101	0	0	ENSG00000113810
RG-vRG	RPS19	1.18965572	0.904	0.591	0	0	ENSG00000105372
RG-vRG	COL4A5	1.189530731	0.771	0.156	0	0	ENSG00000188153
RG-vRG	RPS17	1.187809966	0.842	0.47	0	0	ENSG00000182774
RG-vRG	TOP2A	1.175929739	0.454	0.031	0	0	ENSG00000131747
RG-vRG	PHIP	1.175669477	0.944	0.607	0	0	ENSG00000146247
RG-vRG	GPC6	1.169776327	0.97	0.572	0	0	ENSG00000183098
RG-vRG	ID4	1.165747217	0.7	0.104	0	0	ENSG00000172201
RG-vRG	RPS6	1.163171088	0.853	0.504	0	0	ENSG00000137154
RG-vRG	HBA2	1.155019336	0.43	0.053	0	0	ENSG00000188536
RG-vRG	LINC01515	1.152956001	0.546	0.039	0	0	ENSG00000228065
